Patient_ID	Sample_ID	Sample_Alias	Cluster_ID	postDP_ccf_mean	postDP_ccf_CI_low	postDP_ccf_CI_high	postDP_ccf_0.0	postDP_ccf_0.01	postDP_ccf_0.02	postDP_ccf_0.03	postDP_ccf_0.04	postDP_ccf_0.05	postDP_ccf_0.06	postDP_ccf_0.07	postDP_ccf_0.08	postDP_ccf_0.09	postDP_ccf_0.1	postDP_ccf_0.11	postDP_ccf_0.12	postDP_ccf_0.13	postDP_ccf_0.14	postDP_ccf_0.15	postDP_ccf_0.16	postDP_ccf_0.17	postDP_ccf_0.18	postDP_ccf_0.19	postDP_ccf_0.2	postDP_ccf_0.21	postDP_ccf_0.22	postDP_ccf_0.23	postDP_ccf_0.24	postDP_ccf_0.25	postDP_ccf_0.26	postDP_ccf_0.27	postDP_ccf_0.28	postDP_ccf_0.29	postDP_ccf_0.3	postDP_ccf_0.31	postDP_ccf_0.32	postDP_ccf_0.33	postDP_ccf_0.34	postDP_ccf_0.35	postDP_ccf_0.36	postDP_ccf_0.37	postDP_ccf_0.38	postDP_ccf_0.39	postDP_ccf_0.4	postDP_ccf_0.41	postDP_ccf_0.42	postDP_ccf_0.43	postDP_ccf_0.44	postDP_ccf_0.45	postDP_ccf_0.46	postDP_ccf_0.47	postDP_ccf_0.48	postDP_ccf_0.49	postDP_ccf_0.5	postDP_ccf_0.51	postDP_ccf_0.52	postDP_ccf_0.53	postDP_ccf_0.54	postDP_ccf_0.55	postDP_ccf_0.56	postDP_ccf_0.57	postDP_ccf_0.58	postDP_ccf_0.59	postDP_ccf_0.6	postDP_ccf_0.61	postDP_ccf_0.62	postDP_ccf_0.63	postDP_ccf_0.64	postDP_ccf_0.65	postDP_ccf_0.66	postDP_ccf_0.67	postDP_ccf_0.68	postDP_ccf_0.69	postDP_ccf_0.7	postDP_ccf_0.71	postDP_ccf_0.72	postDP_ccf_0.73	postDP_ccf_0.74	postDP_ccf_0.75	postDP_ccf_0.76	postDP_ccf_0.77	postDP_ccf_0.78	postDP_ccf_0.79	postDP_ccf_0.8	postDP_ccf_0.81	postDP_ccf_0.82	postDP_ccf_0.83	postDP_ccf_0.84	postDP_ccf_0.85	postDP_ccf_0.86	postDP_ccf_0.87	postDP_ccf_0.88	postDP_ccf_0.89	postDP_ccf_0.9	postDP_ccf_0.91	postDP_ccf_0.92	postDP_ccf_0.93	postDP_ccf_0.94	postDP_ccf_0.95	postDP_ccf_0.96	postDP_ccf_0.97	postDP_ccf_0.98	postDP_ccf_0.99	postDP_ccf_1.0
pt6	sample_01		1	0.89	0.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-45	6e-43	8.6958e-41	8.62182e-39	6.1325247e-37	3.2567886e-35	1.3348116e-33	4.3408823e-32	1.1466894e-30	2.5102348e-29	4.6329627e-28	7.317455e-27	1.0019843e-25	1.2031365e-24	1.2796633e-23	1.2163824e-22	1.0415791e-21	8.091742e-21	5.73968e-20	3.7387318e-19	2.248062e-18	1.2536722e-17	6.511963e-17	3.1629343e-16	1.4416873e-15	6.1869667e-15	2.5073734e-14	9.62275e-14	3.5061467e-13	1.2157344e-12	4.0204784e-12	1.2706721e-11	3.8452186e-11	1.1161198e-10	3.1125058e-10	8.35196e-10	2.1595636e-09	5.3879408e-09	1.29869e-08	3.027792e-08	6.835374e-08	1.4957763e-07	3.1758674e-07	6.5486404e-07	1.312522e-06	2.5590914e-06	4.857599e-06	8.983226e-06	1.6196305e-05	2.8487439e-05	4.891183e-05	8.20254e-05	0.00013443001	0.00021541883	0.0003376967	0.000518115	0.0007783511	0.0011453979	0.0016517435	0.0023350522	0.003237234	0.004402726	0.005875944	0.007697942	0.009902318	0.012510709	0.01552819	0.018939113	0.02270367	0.026756207	0.03100514	0.03533497	0.039611045	0.043685827	0.047407404	0.050628718	0.053216957	0.055063345	0.056089643	0.05625464	0.05555611	0.054030776	0.051751304	0.048820652	0.045364425	0.041522235	0.03743852	0.03325427	0.029099146
pt6	sample_02		1	0.92	0.83	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1e-44	5.786e-42	1.427131e-39	2.0025627e-37	1.76319e-35	1.0494175e-33	4.4737246e-32	1.4301952e-30	3.557896e-29	7.09903e-28	1.1649228e-26	1.6055028e-25	1.8916662e-24	1.9345553e-23	1.7397504e-22	1.3914334e-21	9.995055e-21	6.5045296e-20	3.864216e-19	2.1098619e-18	1.0651596e-17	4.9989555e-17	2.1915359e-16	9.013971e-16	3.4921542e-15	1.2788884e-14	4.4417117e-14	1.4673614e-13	4.6235346e-13	1.392964e-12	4.021951e-12	1.1152723e-11	2.9759036e-11	7.654836e-11	1.901345e-10	4.5673926e-10	1.0626395e-09	2.3977298e-09	5.2536313e-09	1.1191138e-08	2.3201695e-08	4.6864958e-08	9.2316064e-08	1.7750202e-07	3.3342562e-07	6.1237057e-07	1.10047e-06	1.9364345e-06	3.3387444e-06	5.6441154e-06	9.360633e-06	1.5239141e-05	2.436676e-05	3.8286144e-05	5.9143196e-05	8.986478e-05	0.00013436555	0.0001977803	0.00028671455	0.00040949896	0.000576434	0.00080000487	0.0010950278	0.0014787155	0.001970612	0.0025923916	0.003367459	0.0043203747	0.0054760473	0.0068587363	0.008490856	0.010391712	0.012576011	0.015052375	0.017822133	0.020877915	0.02420278	0.027769485	0.03154032	0.03546735	0.0394931	0.04355184	0.047571305	0.051474728	0.055183575	0.05861994	0.06170938	0.06438374	0.066583775	0.06826086	0.06937921	0.069916956	0.06986683
pt6	sample_03		1	0.95	0.88	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-45	1.75e-43	1.509e-41	9.52227e-40	4.5604507e-38	1.7104089e-36	5.1570613e-35	1.2780567e-33	2.6532042e-32	4.689624e-31	7.1578405e-30	9.550962e-29	1.1262207e-27	1.1847943e-26	1.1214375e-25	9.622476e-25	7.5351315e-24	5.417736e-23	3.5960327e-22	2.2143542e-21	1.2706614e-20	6.822308e-20	3.4400397e-19	1.6345347e-18	7.341394e-18	3.1257375e-17	1.2649282e-16	4.877163e-16	1.7957084e-15	6.3266835e-15	2.1371158e-14	6.933784e-14	2.1643799e-13	6.510188e-13	1.8896584e-12	5.3002438e-12	1.4384218e-11	3.7815917e-11	9.6416146e-11	2.386532e-10	5.740651e-10	1.3431894e-09	3.059697e-09	6.791187e-09	1.4698694e-08	3.104564e-08	6.4034566e-08	1.2906565e-07	2.5436614e-07	4.904794e-07	9.2584406e-07	1.7117617e-06	3.1013979e-06	5.509207e-06	9.5992245e-06	1.6412981e-05	2.7549977e-05	4.541591e-05	7.355452e-05	0.000117078635	0.00018321472	0.00028196542	0.00042688983	0.0006359827	0.0009326177	0.0013464936	0.0019144943	0.002681364	0.0037000317	0.005031491	0.0067439447	0.008911317	0.011610694	0.014918867	0.018907983	0.023640275	0.029162126	0.035497937	0.042644188	0.050563723	0.059181992	0.068384275	0.07801526	0.087881535	0.09775661	0.10738818	0.116508536	0.12484626
pt6	sample_01		2	0.56	0.52	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.034e-42	1.76894e-39	1.8725498e-36	1.2693401e-33	5.6811162e-31	1.7252189e-28	3.6430805e-26	5.468792e-24	5.953332e-22	4.7856492e-20	2.8877802e-18	1.3277539e-16	4.715908e-15	1.3101613e-13	2.8801321e-12	5.062955e-11	7.186888e-10	8.3123926e-09	7.8991036e-08	6.21507e-07	4.0778264e-06	2.2460368e-05	0.000104493905	0.00041299773	0.0013941984	0.0040400373	0.010096468	0.021855988	0.04114963	0.0676427	0.09743039	0.12338034	0.13779779	0.13613838	0.11930319	0.09298256	0.06460843	0.04011552	0.022305176	0.011128974	0.004992112	0.002016811	0.0007350722	0.00024207766	7.214017e-05	1.9480214e-05	4.7726844e-06	1.0621912e-06	2.149789e-07	3.9609038e-08	6.6499077e-09	1.018226e-09	1.4231186e-10	1.8168725e-11	2.120325e-12	2.2633067e-13	2.2110194e-14	1.9777825e-15	1.620666e-16	1.2170724e-17	8.379015e-19	5.2900016e-20	3.063474e-21	1.6276249e-22	7.934676e-24	3.5497826e-25	1.4574108e-26	5.491442e-28	1.8988624e-29	6.025135e-31	1.7541159e-32	4.6847716e-34	1.14754845e-35	2.5775482e-37	5.307009e-39	1.0013e-40	1.73e-42
pt6	sample_02		2	0.67	0.6	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-45	9.7e-43	4.41751e-40	1.4058649e-37	3.2078383e-35	5.3721646e-33	6.7429934e-31	6.46349e-29	4.8124883e-27	2.8261418e-25	1.3273288e-23	5.0492515e-22	1.573727e-20	4.0614834e-19	8.763702e-18	1.5951626e-16	2.4694407e-15	3.2760124e-14	3.7505136e-13	3.729472e-12	3.2406803e-11	2.474492e-10	1.6690139e-09	9.992295e-09	5.3344127e-08	2.5501149e-07	1.0960175e-06	4.2509255e-06	1.4930529e-05	4.7645375e-05	0.00013856983	0.00036837178	0.00089756993	0.0020097606	0.0041454635	0.007895238	0.013914734	0.02274042	0.03452967	0.048805106	0.06432611	0.07919162	0.09120986	0.09843007	0.09967014	0.094829135	0.084885366	0.07157669	0.056919817	0.04273746	0.030329684	0.020364951	0.012950282	0.007806501	0.004464806	0.0024248352	0.0012515357	0.00061435625	0.00028703274	0.00012772664	5.4170207e-05	2.1909964e-05	8.4565545e-06	3.1164209e-06	1.0971888e-06	3.6922378e-07	1.1882139e-07	3.6586563e-08	1.0783247e-08	3.0434582e-09	8.22919e-10	2.1324782e-10	5.2980433e-11	1.2624055e-11	2.885917e-12	6.331301e-13	1.3334256e-13	2.6966458e-14
pt6	sample_03		2	0.68	0.63	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8e-45	5.276e-42	2.374709e-39	7.75277e-37	1.8698535e-34	3.3880154e-32	4.6829227e-30	5.007115e-28	4.1949518e-26	2.7864597e-24	1.4834286e-22	6.393017e-21	2.250987e-19	6.5312403e-18	1.5739583e-16	3.1737048e-15	5.391268e-14	7.7646147e-13	9.537719e-12	1.0047708e-10	9.1248814e-10	7.1785347e-09	4.9144038e-08	2.9401286e-07	1.5433465e-06	7.134783e-06	2.915082e-05	0.00010561237	0.0003403427	0.000978426	0.0025162506	0.0058038	0.012035677	0.02249204	0.037960477	0.057978947	0.08029369	0.101008266	0.11562115	0.12062296	0.11486676	0.099988505	0.07966945	0.0581779	0.03898303	0.023995135	0.01358193	0.0070764627	0.0033968913	0.0015035941	0.00061419926	0.00023170696	8.078268e-05	2.6044645e-05	7.769472e-06	2.1457017e-06	5.4885896e-07	1.3009418e-07	2.8584004e-08	5.8238756e-09	1.1006708e-09	1.9300496e-10	3.1408074e-11	4.7441534e-12	6.65233e-13	8.660298e-14	1.0468049e-14	1.174823e-15	1.2242112e-16	1.18437945e-17	1.06375e-18	8.868282e-20
pt6	sample_01		3	0.37	0.32	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36e-43	3.766093e-38	7.1477844e-34	3.9647446e-30	7.9434464e-27	6.751228e-24	2.758122e-21	5.9800624e-19	7.452828e-17	5.699005e-15	2.8222428e-13	9.470159e-12	2.2370997e-10	3.843661e-09	4.9398057e-08	4.8654135e-07	3.7510492e-06	2.3060242e-05	0.000114905815	0.0004708304	0.0016070066	0.0046215565	0.011314692	0.02380173	0.043382086	0.069029875	0.09655406	0.11946054	0.13148531	0.1294172	0.114457354	0.091356285	0.06607312	0.04346309	0.026092269	0.014340809	0.007237329	0.0033628216	0.0014422435	0.00057227066	0.00021053705	7.196055e-05	2.2893531e-05	6.791081e-06	1.8813816e-06	4.875074e-07	1.1832046e-07	2.6932666e-08	5.756651e-09	1.1566987e-09	2.1872038e-10	3.8957948e-11	6.542469e-12	1.0367852e-12	1.5515729e-13	2.1943615e-14	2.93485e-15	3.7142585e-16	4.4504904e-17	5.0514774e-18	5.4338704e-19	5.54195e-20	5.3610198e-21	4.9206154e-22	4.2865174e-23	3.5450482e-24	2.784057e-25	2.0766122e-26	1.471398e-27	9.905247e-29	6.335837e-30	3.8510514e-31	2.2243741e-32	1.2209826e-33	6.368898e-35	3.1569596e-36	1.4869299e-37	6.654095e-39	2.8289e-40	1.1423e-41	4.39e-43	1.5e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt6	sample_02		3	0.21	0.16	0.26	0.0	3.18e-42	7.893563e-30	6.194735e-23	2.71167e-18	6.8919043e-15	2.887453e-12	3.4792716e-10	1.6809215e-08	4.0341078e-07	5.5670025e-06	4.9032602e-05	0.00029770326	0.0013210357	0.004483486	0.012065074	0.026500836	0.048653238	0.076141275	0.10325934	0.12304968	0.13038447	0.12410634	0.107058816	0.08434375	0.061096106	0.040934358	0.025501214	0.014841201	0.008102673	0.0041655083	0.00202328	0.00093135645	0.00040742467	0.000169801	6.757464e-05	2.5732821e-05	9.394626e-06	3.2939643e-06	1.1109757e-06	3.6097833e-07	1.1314577e-07	3.42553e-08	1.0028974e-08	2.8424532e-09	7.806756e-10	2.0796931e-10	5.378407e-11	1.3513933e-11	3.3015147e-12	7.847859e-13	1.8162781e-13	4.0951522e-14	9.0004035e-15	1.9292791e-15	4.0353285e-16	8.239904e-17	1.6433134e-17	3.2021564e-18	6.0989857e-19	1.1358684e-19	2.0691697e-20	3.6880587e-21	6.4337234e-22	1.0988008e-22	1.837668e-23	3.0103423e-24	4.831421e-25	7.598366e-26	1.1712546e-26	1.769855e-27	2.6221787e-28	3.8096754e-29	5.428474e-30	7.587543e-31	1.0404103e-31	1.3997199e-32	1.847795e-33	2.393806e-34	3.0435454e-35	3.798126e-36	4.6524405e-37	5.5943203e-38	6.603672e-39	7.653e-40	8.7074e-41	9.728e-42	1.066e-42	1.15e-43	1.3e-44	1e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt6	sample_03		3	0.21	0.17	0.25	0.0	0.0	8.426961e-36	2.4038348e-27	1.1722454e-21	1.7324039e-17	2.7922677e-14	9.718101e-12	1.0979345e-09	5.2375356e-08	1.2623436e-06	1.7470978e-05	0.00015260397	0.00090379734	0.0038373142	0.012206921	0.030147258	0.05950793	0.09616773	0.12982315	0.14891113	0.1472473	0.12709257	0.09678749	0.06564702	0.03998253	0.022025265	0.011044411	0.0050698076	0.0021412529	0.0008358568	0.00030279654	0.0001021666	3.2213826e-05	9.520246e-06	2.6442617e-06	6.919659e-07	1.7098634e-07	3.9978595e-08	8.8612815e-09	1.8651647e-09	3.7339384e-10	7.119906e-11	1.2948518e-11	2.2486735e-12	3.7332062e-13	5.931085e-14	9.025985e-15	1.3168591e-15	1.8433967e-16	2.4777325e-17	3.1998851e-18	3.973109e-19	4.7456e-20	5.4555486e-21	6.039268e-22	6.4403747e-23	6.619031e-24	6.55823e-25	6.26648e-26	5.7760107e-27	5.1371504e-28	4.4095003e-29	3.6536644e-30	2.9228267e-31	2.2577832e-32	1.6842731e-33	1.2134922e-34	8.444724e-36	5.6765933e-37	3.6859312e-38	2.311925e-39	1.40074e-40	8.198e-42	4.64e-43	2.5e-44	1e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt6	sample_01		4	0.05	0.01	0.08	0.0	0.07108968	0.14984865	0.17714304	0.1649606	0.13460378	0.100911885	0.0712871	0.048173755	0.03144541	0.01995851	0.012375702	0.0075229695	0.00449499	0.002645282	0.0015357361	0.0008806888	0.0004993952	0.0002802561	0.00015576392	8.5790634e-05	4.6848094e-05	2.5375291e-05	1.3638201e-05	7.275539e-06	3.8534845e-06	2.0268633e-06	1.0589254e-06	5.496064e-07	2.834327e-07	1.452506e-07	7.397854e-08	3.745019e-08	1.8845295e-08	9.427155e-09	4.688299e-09	2.3180893e-09	1.1395719e-09	5.570188e-10	2.707216e-10	1.3083154e-10	6.286976e-11	3.004133e-11	1.42739666e-11	6.7440363e-12	3.1684113e-12	1.4801519e-12	6.8755516e-13	3.1757062e-13	1.4584716e-13	6.659868e-14	3.0236735e-14	1.3648796e-14	6.125322e-15	2.73289e-15	1.2121622e-15	5.344718e-16	2.342607e-16	1.0206139e-16	4.4196988e-17	1.902267e-17	8.137195e-18	3.4592278e-18	1.4613749e-18	6.134687e-19	2.558879e-19	1.0604879e-19	4.3664683e-20	1.7860508e-20	7.257154e-21	2.9290027e-21	1.174134e-21	4.6744464e-22	1.8480733e-22	7.255264e-23	2.8280966e-23	1.0944664e-23	4.2047773e-24	1.6035327e-24	6.0696763e-25	2.2801307e-25	8.500098e-26	3.144188e-26	1.1539144e-26	4.2011635e-27	1.5172251e-27	5.434571e-28	1.9304958e-28	6.799984e-29	2.374812e-29	8.221921e-30	2.8215887e-30	9.59675e-31	3.2345831e-31	1.0801977e-31	3.5737647e-32	1.1711706e-32	3.80119e-33	1.2216907e-33	3.8875173e-34	1.2245782e-34
