Patient_ID	Sample_ID	Sample_Alias	Cluster_ID	postDP_ccf_mean	postDP_ccf_CI_low	postDP_ccf_CI_high	postDP_ccf_0.0	postDP_ccf_0.01	postDP_ccf_0.02	postDP_ccf_0.03	postDP_ccf_0.04	postDP_ccf_0.05	postDP_ccf_0.06	postDP_ccf_0.07	postDP_ccf_0.08	postDP_ccf_0.09	postDP_ccf_0.1	postDP_ccf_0.11	postDP_ccf_0.12	postDP_ccf_0.13	postDP_ccf_0.14	postDP_ccf_0.15	postDP_ccf_0.16	postDP_ccf_0.17	postDP_ccf_0.18	postDP_ccf_0.19	postDP_ccf_0.2	postDP_ccf_0.21	postDP_ccf_0.22	postDP_ccf_0.23	postDP_ccf_0.24	postDP_ccf_0.25	postDP_ccf_0.26	postDP_ccf_0.27	postDP_ccf_0.28	postDP_ccf_0.29	postDP_ccf_0.3	postDP_ccf_0.31	postDP_ccf_0.32	postDP_ccf_0.33	postDP_ccf_0.34	postDP_ccf_0.35	postDP_ccf_0.36	postDP_ccf_0.37	postDP_ccf_0.38	postDP_ccf_0.39	postDP_ccf_0.4	postDP_ccf_0.41	postDP_ccf_0.42	postDP_ccf_0.43	postDP_ccf_0.44	postDP_ccf_0.45	postDP_ccf_0.46	postDP_ccf_0.47	postDP_ccf_0.48	postDP_ccf_0.49	postDP_ccf_0.5	postDP_ccf_0.51	postDP_ccf_0.52	postDP_ccf_0.53	postDP_ccf_0.54	postDP_ccf_0.55	postDP_ccf_0.56	postDP_ccf_0.57	postDP_ccf_0.58	postDP_ccf_0.59	postDP_ccf_0.6	postDP_ccf_0.61	postDP_ccf_0.62	postDP_ccf_0.63	postDP_ccf_0.64	postDP_ccf_0.65	postDP_ccf_0.66	postDP_ccf_0.67	postDP_ccf_0.68	postDP_ccf_0.69	postDP_ccf_0.7	postDP_ccf_0.71	postDP_ccf_0.72	postDP_ccf_0.73	postDP_ccf_0.74	postDP_ccf_0.75	postDP_ccf_0.76	postDP_ccf_0.77	postDP_ccf_0.78	postDP_ccf_0.79	postDP_ccf_0.8	postDP_ccf_0.81	postDP_ccf_0.82	postDP_ccf_0.83	postDP_ccf_0.84	postDP_ccf_0.85	postDP_ccf_0.86	postDP_ccf_0.87	postDP_ccf_0.88	postDP_ccf_0.89	postDP_ccf_0.9	postDP_ccf_0.91	postDP_ccf_0.92	postDP_ccf_0.93	postDP_ccf_0.94	postDP_ccf_0.95	postDP_ccf_0.96	postDP_ccf_0.97	postDP_ccf_0.98	postDP_ccf_0.99	postDP_ccf_1.0
pt3	sample_01		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3731343e-24	1.0
pt3	sample_02		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9100439e-28	1.0
pt3	sample_03		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03e-43	2.6230904e-27	3.8791005e-13	1.0
pt3	sample_01		2	0.65	0.61	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72e-43	1.77735e-40	1.2446534e-37	6.0641836e-35	2.0962328e-32	5.233792e-30	9.594605e-28	1.3110082e-25	1.353885e-23	1.0703098e-21	6.55432e-20	3.1433612e-18	1.192686e-16	3.614226e-15	8.8243886e-14	1.7501868e-12	2.841442e-11	3.8031417e-10	4.224722e-09	3.9194273e-08	3.0546445e-07	2.0109576e-06	1.1240722e-05	5.3609918e-05	0.00021915033	0.0007711797	0.002345587	0.0061899787	0.0142244855	0.028561203	0.050269995	0.077795565	0.106160864	0.12809207	0.1370079	0.13022491	0.11024759	0.08331454	0.05631809	0.03411919	0.018560119	0.009081437	0.004003509	0.001592662	0.0005725982	0.00018630504	5.4932767e-05	1.4696389e-05	3.5717198e-06	7.894303e-07	1.5884751e-07	2.9127488e-08	4.8717785e-09	7.438922e-10	1.037827e-10	1.3239261e-11	1.5453772e-12	1.6516847e-13	1.6173481e-14	1.4518035e-15	1.1952822e-16	9.030138e-18	6.262798e-19	3.989007e-20	2.3341714e-21	1.2551764e-22	6.2044514e-24	2.819842e-25	1.1785871e-26	4.530822e-28
pt3	sample_02		2	0.74	0.69	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9e-44	3.0851e-41	1.205002e-38	3.519157e-36	7.789808e-34	1.3233446e-31	1.7455012e-29	1.8069668e-27	1.4828379e-25	9.736428e-24	5.1599485e-22	2.2250667e-20	7.866643e-19	2.2964984e-17	5.5727e-16	1.13105885e-14	1.931435e-13	2.7901943e-12	3.4277733e-11	3.598559e-10	3.2432375e-09	2.5203317e-08	1.6956642e-07	9.91547e-07	5.057862e-06	2.2584387e-05	8.856501e-05	0.00030596988	0.0009339786	0.002526094	0.0060696634	0.012989095	0.024815444	0.042421054	0.065026045	0.08956264	0.111056335	0.12420319	0.12550461	0.11477325	0.095140025	0.07159403	0.048977718	0.030501055	0.017313434	0.008968704	0.00424475	0.0018374939	0.00072828284	0.00026454448	8.814908e-05	2.6967558e-05	7.5809417e-06	1.959726e-06	4.6620607e-07	1.02132546e-07	2.0617405e-08	3.8374344e-09	6.5891875e-10	1.04429625e-10	1.5283762e-11	2.066508e-12	2.5823777e-13	2.9835885e-14	3.1881323e-15
pt3	sample_03		2	0.8	0.76	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8e-45	3.771e-42	1.380366e-39	3.890909e-37	8.528934e-35	1.4673417e-32	1.9985023e-30	2.1724367e-28	1.8991042e-26	1.34462495e-24	7.762946e-23	3.677466e-21	1.437977e-19	4.6672574e-18	1.2640406e-16	2.8709136e-15	5.4937964e-14	8.896997e-13	1.2244828e-11	1.4378766e-10	1.4460292e-09	1.2498745e-08	9.316282e-08	6.0074336e-07	3.3613671e-06	1.6366701e-05	6.9534566e-05	0.0002584321	0.0008422711	0.0024127893	0.006088238	0.013560213	0.02671113	0.046619657	0.072220676	0.09946788	0.12198688	0.13341078	0.130293	0.113780856	0.08895571	0.06233523	0.039193943	0.022134593	0.011238338	0.0051344433	0.0021125155	0.0007833389	0.0002619666	7.906155e-05	2.1545651e-05	5.3046597e-06	1.1804956e-06	2.3755408e-07	4.324267e-08	7.122684e-09	1.0618838e-09	1.4332e-10
pt3	sample_01		3	0.06	0.05	0.07	0.0	4.013399e-27	3.7785885e-13	1.0902629e-06	0.002577121	0.121739335	0.47671106	0.3304576	0.06377271	0.004587577	0.00015012664	2.575849e-06	2.5729983e-08	1.6199972e-10	6.837861e-13	2.0316087e-15	4.418938e-18	7.2656306e-21	9.2722245e-24	9.3894924e-27	7.686627e-30	5.168213e-33	2.8929249e-36	1.363899e-39	5.47e-43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt3	sample_02		3	0.09	0.08	0.11	0.0	0.0	2.66808e-27	1.0063136e-16	2.3385963e-10	2.635616e-06	0.0010068809	0.036782313	0.23859604	0.4096187	0.24439119	0.0615349	0.00754597	0.00050245883	1.976729e-05	4.9124196e-07	8.138225e-09	9.3916465e-11	7.829305e-13	4.860394e-15	2.3052931e-17	8.538342e-20	2.5161974e-22	5.996263e-25	1.1718126e-27	1.901246e-30	2.588787e-33	2.9863962e-36	2.943626e-39	2.497e-42	1e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt3	sample_03		3	0.11	0.09	0.12	0.0	0.0	3.3e-43	3.9193052e-28	1.0539228e-18	2.23508e-12	5.0751062e-08	4.9598755e-05	0.004785581	0.0778637	0.30786058	0.383816	0.18285559	0.038517106	0.0040173386	0.00022693862	7.463083e-06	1.5155167e-07	1.9952862e-09	1.7739522e-11	1.10231147e-13	4.929348e-16	1.6266413e-18	4.0478835e-21	7.740203e-24	1.1561703e-26	1.3686177e-29	1.30033e-32	1.0028511e-35	6.341103e-39	3.317e-42	1e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt3	sample_01		4	0.03	0.03	0.04	0.0	1.0530853e-06	0.03857195	0.57764614	0.34731942	0.035293143	0.0011495037	1.6881051e-05	1.3701793e-07	7.008443e-10	2.4705093e-12	6.3966226e-15	1.2750284e-17	2.0273533e-20	2.6434472e-23	2.888661e-26	2.6922262e-29	2.1707092e-32	1.5319795e-35	9.556818e-39	5.312e-42	3e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
